時間,本行買入,本行賣出,即期買入,即期賣出
2020/07/01,29.19,29.86,29.54,29.64
2020/07/02,29.16,29.83,29.51,29.61
2020/07/03,29.17,29.84,29.52,29.62
2020/07/06,29.13,29.8,29.48,29.58
2020/07/07,29.15,29.82,29.5,29.6
2020/07/08,29.17,29.84,29.52,29.62
2020/07/09,29.15,29.82,29.5,29.6
2020/07/10,29.18,29.85,29.53,29.63
2020/07/13,29.15,29.82,29.5,29.6
2020/07/14,29.16,29.83,29.51,29.61
2020/07/15,29.15,29.82,29.5,29.6
2020/07/16,29.16,29.83,29.51,29.61
2020/07/17,29.16,29.83,29.51,29.61
2020/07/20,29.135,29.805,29.485,29.585
2020/07/21,29.13,29.8,29.48,29.58
2020/07/22,29.1,29.77,29.45,29.55
2020/07/23,29.105,29.775,29.455,29.555
2020/07/24,29.12,29.79,29.47,29.57
2020/07/27,29.08,29.75,29.43,29.53
2020/07/28,29.08,29.75,29.43,29.53
2020/07/29,29.07,29.74,29.42,29.52
2020/07/30,29.095,29.765,29.445,29.545
2020/07/31,29.08,29.75,29.43,29.53
